date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
9/10/2013,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,,,HSBC North America Holdings Inc.,FL,75075,,,Web,9/10/2013,Closed with explanation,Yes,No,521412
9/10/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Bank of America,CA,93436,,,Web,9/10/2013,Closed with explanation,Yes,No,521415
9/10/2013,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,Grant & Weber,NV,89014,,,Postal mail,9/10/2013,Closed with explanation,Yes,No,521416
9/17/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,Stellar Recovery Inc.,TX,79772,,,Phone,10/16/2013,Closed with explanation,Yes,Yes,530686
9/17/2013,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,Citibank,NH,3062,Servicemember,,Web,9/18/2013,Closed with non-monetary relief,Yes,No,530688
9/10/2013,Bank account or service,Savings account,"Account opening, closing, or management",,,,"Fidelity National Information Services, Inc. (FNIS)",KY,40324,,,Web,9/10/2013,Closed with explanation,Yes,No,521417
9/10/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Loan Care,DC,20019,,,Web,9/10/2013,Closed with explanation,Yes,Yes,521418
8/30/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,CA,90036,,,Web,9/4/2013,Closed with explanation,Yes,Yes,510043
9/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",WV,24910,,,Postal mail,10/7/2013,Closed with explanation,Yes,No,541177
9/24/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,"Citizens Financial Group, Inc.",NJ,7009,,,Phone,9/25/2013,Closed with explanation,Yes,No,540434
9/10/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,TN,37040,,,Postal mail,9/10/2013,Closed with explanation,Yes,Yes,520930
9/10/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,OH,44147,,,Web,9/10/2013,Closed with non-monetary relief,Yes,No,521419
9/24/2013,Credit card,,Customer service / Customer relations,,,,Amex,MN,55342,,,Web,9/25/2013,Closed with explanation,Yes,No,540439
9/24/2013,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,Penn Credit Corporation,NY,11214,,,Phone,9/25/2013,Closed with explanation,Yes,Yes,541266
